OID_,UF_Animal_ID,Status,Capture_Date,Capture_Location,Trap_Name,Capture_Notes,UTM_Easting,UTM_Northing,Specimen_Condition,Intake_SVL,Intake_TL,Intake_Weight_kg,Measurements,Intake_Sex,Age_Class,General_Notes,Euth_Date,Final_Disposition,Nec_SVL,Nec_TL,Nec_Weight_kg,fat_g,Malformations,Extremities,Extremities_Notes,Reproductive_Sys,Nec_Sex,GI_Wt,Additional_Notes,Date_Diff,Analysis_Sex,SVL_Diff,Weight_Diff,mass_g,fulton,year,month_numb,day,month,percfat,sizeclass,NEAR_FID,C110111_DIST,C110424_DIST,JDC_DIST,Pond_DIST,UP_DIST,WCS_DIST,Hab1,Hab2
1194,TuMe1000,UF trap line,5/21/2015,HH2,144,NA,553772,2806568,Live,26.4,73.6,0.54,Dead,Female,NA,NA,5/22/2015,NA,26.8,73.9,0.54,6.014,NA,Normal,NA,Normal,Female,22.701,NA,1,Female,0.4,0,540,2.934823441,2015,5,21,May,1.113703704,Group3,1,8181.936751,2774.246745,1584.487299,1819.737344,221.6528818,5640.358588,4,4
441,TuMe1002,UF trap line,5/21/2015,NA,151,NA,552797,2806551,Live,29.3,77.2,0.7,Dead,Female,NA,NA,5/22/2015,NA,28.4,77,0.73,8.955,NA,Normal,NA,Normal,Female,51.168,NA,1,Female,0.9,0.03,700,2.782884481,2015,5,21,May,1.279285714,Group4,1,7884.041667,1799.111169,637.6284184,852.3297484,1196.48318,5221.824681,5,5
442,TuMe1003,UF trap line,5/21/2015,NA,155,NA,552577,2806532,Live,26.6,74.9,0.5,Dead,Female,NA,NA,5/22/2015,NA,26.6,72.4,0.54,2.306,NA,Normal,NA,Normal,Female,20.081,NA,1,Female,0,0.04,500,2.656593431,2015,5,21,May,0.4612,Group3,1,7817.222653,1579.000317,433.115458,633.5053275,1416.991531,5133.794698,4,4
443,TuMe1004,UF trap line,5/21/2015,NA,158,NA,551570,2806529,Live,19.9,56.9,0.24,Dead,Male,NA,NA,5/22/2015,NA,20.1,55.8,0.235,2.884,NA,Normal,NA,Normal,Male,7.007,NA,1,Male,0.2,0.005,240,3.045453778,2015,5,21,May,1.201666667,Group2,1,7669.977314,572.0034965,679.0647981,419.3626116,2423.647045,4923.716686,4,4
1195,TuMe1006,UF trap line,5/22/2015,NA,34,NA,553953,2806578,Live,26.3,59.4,0.49,Dead,Male,NA,Tail Regeneration 18.7 cm,5/22/2015,NA,25.8,59.2,0.47,1.388,NA,Normal,tail regeneration: 19.1 cm,Normal,Male,41.396,NA,0,Male,0.5,0.02,490,2.693573524,2015,5,22,May,0.283265306,Group3,1,8255.128467,2955.37375,1764.716691,2000.821081,40.60788101,5738.86156,4,4
444,TuMe1007,UF trap line,5/22/2015,NA,162,NA,552318,2806240,Live,25.5,69.4,0.46,Dead,Unknown,NA,possible male,5/22/2015,NA,24.2,66.9,0.49,1.317,NA,Normal,NA,Normal,Male,38.964,NA,0,Male,1.3,0.03,460,2.774196953,2015,5,22,May,0.286304348,Group3,1,7480.559137,1351.695602,124.5311206,382.5388869,1710.160811,4780.280013,12,15
173,TuMe1008,UF trap line,5/22/2015,NA,147,NA,551005,2805006,Live,23.2,65.3,0.4,Dead,Male,NA,NA,5/22/2015,NA,22.7,64.3,0.41,3.333,NA,Normal,NA,Normal,Male,15.448,NA,0,Male,0.5,0.01,400,3.203288368,2015,5,22,May,0.83325,Group3,1,6123.137268,1525.016065,1769.644315,1674.43274,3379.553965,3372.171407,5,6
174,TuMe1017,transferred,5/20/2015,S117,221,NA,549384,2806514,Live,27.5,77,0.746,Alive,Female,NA,NA,5/23/2015,Sent to Sterling Nesbitt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Female,NA,NA,746,3.587077385,2015,5,20,May,NA,Group4,1,7792.8532,1614.089527,2833.940719,2581.480196,4609.546832,5153.001552,4,4
117,TuMe1021,transferred,5/21/2015,RR57,NA,NA,547851,2804654,Live,28,66.5,0.744,Alive,Male,NA,Broken Tail,5/23/2015,Sent to Sterling Nesbitt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Male,NA,NA,744,3.389212828,2015,5,21,May,NA,Group4,1,6557.07328,3664.251356,4660.127144,4458.631741,6438.394598,4391.325996,5,6
1196,TuMe1024,UF trap line,5/26/2015,Trap1,34,NA,553953,2806578,Live,24.5,54,0.4,Dead,Male,NA,"Total length 65.2cm with detached tail
Tail detached at euthanization",5/26/2015,NA,25.9,67.2,0.43,0.754,Broken tail in two places from euthanasia.,Normal,"Broken tail in two locations.
1.4 cm first broken section.
11.6 cm second broken section.",Normal,Male,13.652,NA,0,Male,1.4,0.03,400,2.719955121,2015,5,26,May,0.1885,Group3,1,8255.128467,2955.37375,1764.716691,2000.821081,40.60788101,5738.86156,4,4
