FAWN Station,Period,60cm T avg (F),60cm T min (F),60cm T max (F),2m Rain tot (in),2m Rain max over 15min (in),N (# obs)
Homestead,Jan-14,64.53,32,84.27,2.99,0.36,2969
Homestead,Feb-14,70.39,45.45,86.83,2.46,0.39,2688
Homestead,Mar-14,70.36,50.27,89.37,2.1,0.44,2951
Homestead,Apr-14,74.57,53.29,91.29,1.48,0.31,2880
Homestead,May-14,77.39,60.75,91.62,3.71,0.72,2976
Homestead,Jun-14,78.26,63.99,93.92,9.88,1.13,2877
Homestead,Jul-14,80.13,69.6,96.15,10.26,0.76,2976
Homestead,Aug-14,81.4,70.79,94.96,4.12,0.57,2976
Homestead,Sep-14,78.97,69.03,91.89,5.09,0.67,2880
Homestead,Oct-14,75.95,57.29,93,3.34,0.4,2976
Homestead,Nov-14,69.07,46.08,88.27,1.55,0.38,2800
Homestead,Dec-14,66.9,37.5,84.87,0.64,0.1,2976
Homestead,Jan-15,66.99,42.04,84.94,0.29,0.1,2975
Homestead,Feb-15,64.56,35.96,86.76,1.29,0.34,2688
Homestead,Mar-15,73.35,51.51,90.82,1.93,0.19,2976
Homestead,Apr-15,77.16,56.25,96.06,5.7,0.61,2880
Homestead,May-15,78.07,60.51,95.07,0.73,0.15,2976
Homestead,Jun-15,80.17,67.26,96.26,4.05,0.43,2869
Homestead,Jul-15,81.12,69.58,95.16,5.95,0.57,2971
Homestead,Aug-15,80.98,70.47,95.2,5.36,0.5,2976
Homestead,Sep-15,79.59,70.93,95.09,9.96,0.64,2880
Homestead,Oct-15,77.23,66,91.74,1.46,0.31,2976
Homestead,Nov-15,75.97,58.51,89.58,2.22,0.19,2880
Homestead,Dec-15,73.88,62.51,85.78,11.34,0.56,2976
Homestead,Jan-16,64.77,39.23,84.96,6.6,0.37,2976
Homestead,Feb-16,65.05,38.56,83.64,2.24,0.35,2784
Homestead,Mar-16,72.54,50.27,89.53,2.44,0.99,2976
Homestead,Apr-16,73.48,53.56,89.62,0.49,0.13,2879
Homestead,May-16,76.94,54,91.65,6,0.93,2976
Homestead,Jun-16,80.22,69.46,95.68,5.12,0.62,2880
Homestead,Jul-16,81.51,69.49,93.54,4.55,0.66,2976
Homestead,Aug-16,80.99,71.56,94.53,8.48,0.65,2973
Homestead,Sep-16,79.58,65.66,94.59,11.24,1.22,2880
Homestead,Oct-16,76.59,58.06,89.6,4.56,0.31,2976
Homestead,Nov-16,69.95,49.35,83.86,0.54,0.08,2880
Homestead,Dec-16,71.97,47.66,86.74,1.66,0.21,2976
Homestead,Jan-17,66.58,43.76,86.02,1.14,0.17,2976
Homestead,Feb-17,68.69,47.25,87.82,1.09,0.26,2688
Homestead,Mar-17,69.25,47.01,86.65,2.62,0.52,2976
Homestead,Apr-17,74.27,47.46,89.89,2.43,0.37,2880
Homestead,May-17,77.72,55.49,95.32,3.33,0.43,2976
Homestead,Jun-17,79.47,69.37,92.73,9.23,0.78,2880
Homestead,Jul-17,80.73,70.68,92.46,6.64,0.51,2976
Homestead,Aug-17,81,70.29,94.51,11.09,0.88,2976
Homestead,Sep-17,79.69,67.37,92.89,18.06,0.59,2880
Homestead,Oct-17,76.14,49.55,89.74,5.14,0.35,2976
Homestead,Nov-17,71.87,55.87,85.19,1.46,0.19,2880
Homestead,Dec-17,65.61,35.11,85.55,0.75,0.25,2976
Homestead,Jan-18,64.6,37.35,82.8,1.43,0.51,2976
Homestead,Feb-18,72.05,50.56,84.78,0.46,0.06,2688
Homestead,Mar-18,67.31,43.15,87.8,0.22,0.05,2976
Homestead,Apr-18,73.95,52.65,91.26,1.96,0.25,2880
Homestead,May-18,76.36,63.05,89.17,10.15,0.48,2976
Homestead,Jun-18,79.15,65.84,92.98,4.55,0.5,2880
Homestead,Jul-18,80.35,69.85,95.04,9.49,0.99,2976
Homestead,Aug-18,80.1,69.71,94.1,13.9,1.01,2976
Homestead,Sep-18,79.76,70.86,91.71,10.35,0.94,2880
Homestead,Oct-18,77.82,55.15,90.1,2.86,0.71,2976
Homestead,Nov-18,72.83,40.83,88.56,1.47,0.18,2880
Homestead,Dec-18,68.4,44.34,87.53,1.61,0.47,2976
Homestead,Jan-19,64.98,40.85,83.53,2.53,0.31,2976
Homestead,Feb-19,71.4,53.67,86.94,1.84,0.35,2687
Homestead,Mar-19,70.44,48.06,89.01,1.68,0.35,2975
Homestead,Apr-19,75.02,53.17,89.83,2.18,0.71,2879
Homestead,May-19,78.73,64.02,91.78,1.91,0.45,2976
Homestead,Jun-19,80.16,70.03,95.81,7.74,1.08,2880
Homestead,Jul-19,80.98,71.01,95.7,7.11,0.78,2976
Homestead,Aug-19,80.45,71.83,92.89,6.38,1.08,2976
Homestead,Sep-19,80.51,63.93,93.11,2.51,0.26,2880
Homestead,Oct-19,79.47,68.77,91.18,3.09,0.4,2924
Homestead,Nov-19,71.07,50.7,90.3,1.34,0.18,2880
Homestead,Dec-19,69.35,46.87,86.02,4.98,0.46,2976
