ID,Species,Source,Sex,Site,Lat,Long,Date,Observation,BM,SVL,Tail,BP,TP,FLP,HLP,ILL,TestesW,TestesL,TestesM,Follicules,FolliculesM,ClutchM,FolliculeD,FatBody
339,rufescens,roadkilled,female,H,-30.89288,-63.21325,11/22/2009,NA,2,39.5,54,29.5,16,7,11.5,19,NA,NA,NA,58,1.56,NA,0.55,54.79
402,merianae,hunted,female,A,-31.55901711,-63.51541708,1/13/2010,NA,2.2,38,57,28,15.5,7.5,11.5,15,NA,NA,NA,15,4.53,NA,0.87,83.88
407,merianae,hunted,female,A,-31.45416703,-63.33745027,1/21/2010,NA,1.9,37.5,48.5,24,16,7.5,12,16.5,NA,NA,NA,NA,0.58,NA,0.33,66.56
410,merianae,hunted,female,A,-31.48485039,-63.34161694,1/21/2010,NA,1.95,38.5,47,24.5,16,7.5,12,17.5,NA,NA,NA,NA,1.19,NA,0.36,141.82
412,merianae,hunted,female,A,-31.61555049,-63.64508385,1/28/2010,NA,1.6,37,64,22.5,15,7,11,17.5,NA,NA,NA,NA,0.48,NA,0.34,42.53
413,merianae,hunted,female,A,-31.72853392,-63.73846726,1/28/2010,NA,1.85,41,60,25,15.5,7,11,21,NA,NA,NA,NA,0.36,NA,NA,17.7
423,rufescens,hunted,female,A,-31.2938669,-63.73051725,2/9/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
680,merianae,roadkilled,female,B,-31.19736111,-63.23447222,11/2/2011,NA,2.3,38.5,45,32,17.5,9,13.5,18.5,NA,NA,NA,NA,NA,NA,NA,5.36
699,rufescens,roadkilled,female,H,-30.97752778,-63.06966667,11/16/2011,NA,1,33,38,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,40.31
340,merianae,roadkilled,male,H,-30.96478577,-62.43025034,11/22/2009,No.sperm,NA,42,17,26,18,9,13,17,NA,NA,NA,NA,NA,NA,NA,NA
342,merianae,roadkilled,male,H,-30.99140079,-62.57133379,11/22/2009,Yes.sperm,3.1,41,22,NA,20,9,14.5,NA,NA,NA,3.38,NA,NA,NA,NA,8.56
403,merianae,hunted,male,A,-31.79693397,-63.54996711,1/13/2010,No.sperm,1.85,37,51,25,16,7,11,17,1.15,1.49,0.63,NA,NA,NA,NA,45.02
408,merianae,hunted,male,A,-31.45416703,-63.33745027,1/21/2010,No.sperm,2.6,41,39,28,18,8,13,19,0.73,1.05,0.22,NA,NA,NA,NA,53.11
409,merianae,hunted,male,A,-31.4582337,-63.37141696,1/21/2010,No.sperm,2.75,41,64,30,18.5,8.5,14,20,0.93,1.55,0.41,NA,NA,NA,NA,101.27
411,merianae,hunted,male,A,-32.48485039,-63.34161694,1/21/2010,No.sperm,2.45,41,64,30,17.5,8,13,21,0.96,1.57,0.6,NA,NA,NA,NA,16.87
416,rufescens,hunted,male,H,-30.82847222,-65.26797222,2/3/2010,No.sperm,NA,32.5,54,23,12,5.5,9,15,NA,NA,NA,NA,NA,NA,NA,NA
427,merianae,hunted,male,A,-31.42315034,-63.17720014,2/25/2010,No.sperm,1.7,36,49.5,25,16,7,11,16,0.75,1.37,0.3,NA,NA,NA,NA,21.12
507,merianae,roadkilled,male,A,-31.61620049,-63.66450053,11/4/2010,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
653,rufescens,roadkilled,male,H,-31.16525,-63.23488889,10/18/2011,NA,2.5,39,62,30.5,19,8.5,13,18.5,NA,NA,NA,NA,NA,NA,NA,153.33
681,rufescens,hunted,male,B,-31.09097222,-63.15705556,11/9/2011,NA,2,37,56.5,25,17.5,8,12,17,NA,NA,NA,NA,NA,NA,NA,24.76
698,rufescens,roadkilled,male,H,-31.33958333,-63.92147222,11/9/2011,NA,4.2,46.5,72.5,34,20,10.5,16,23,NA,NA,NA,NA,NA,NA,NA,102.09
721,rufescens,hunted,male,E,-29.67055556,-64.03930556,11/22/2011,NA,3,45,40,26,17.5,9,14,18,NA,NA,NA,NA,NA,NA,NA,18.21
