"month","year","UF.Animal.ID","Status","Capture.Date","Capture.Location","Trap.Name","Capture.Notes","UTM.Easting","UTM.Northing","Specimen.Condition","Intake.SVL","Intake.TL","Intake.Weight.kg","Measurements","Intake.Sex","General.Notes","Euth.Date","Final.Disposition","Nec.SVL","Nec.TL","Nec.Weight.kg","fat.g","Malformations","Extremities","Extremities.Notes","Reproductive.Sys","Nec.Sex","GI.Wt","Additional.Notes","Date.Diff","Analysis.Sex","month.numb","day","mass.g","percfat","fulton","OID.","SVL.Diff","Weight.Diff","sizeclass","NEAR.FID","C110111.DIST","C110424.DIST","JDC.DIST","Pond.DIST","UP.DIST","WCS.DIST","Hab1","Hab2","Hab.Name1","Hab.Name2","HabCat","Habitat","SVL_Diff","Weight_Diff","julian","lsvl","ltl","lmass","d1","d2","d3","d4","d5","y14","y15","y16","y17","y18","y19","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","Period","Avg.Temp.F","Min.Temp.F","Max.Temp.F","Rain.in","Rain.Max.15.in","Avg.Temp.C","Min.Temp.C","Max.Temp.C","Rain.cm","Rain.Max.15.cm"
"Apr",2014,"TuMe397","captured",2014-04-04,"T8, south side of 424th street, by bracken fern clump",31,"hav-a-hart trap",551993,2806537,"Live",38.2,101,1.66,"Dead","Male","measurements from necropsy same day as euthanasia",2014-04-07,NA,38.2,101,1.66,17.676,NA,"Normal","right femur collected","Normal","Male",63.577,NA,3,"Male",4,4,1660,1.064819277,2.97795409817432,1082,0,0,"Group3",1,7722.85938,995.0180903,319.8655968,160.0312469,2000.575917,4994.94995,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,94,3.64283551561253,4.61512051684126,7.41457288135059,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe401","transferred;USGS/ENP",2014-04-05,"LT14, east side of C-111E, S. of squash pile",52,NA,547766,2808536,"Live",21.5,60,0.24,NA,"Male","21.5 svl + 38.5 (tail length) = total length
measurements from USGS",2014-04-08,NA,21.7,61.1,0.24,0.359,NA,"Abnormal","large wart-like mass on toe of left front foot, collected rear right leg and left front foot","Normal","Male",4.673,NA,3,"Male",4,5,240,0.149583333,2.41488170852881,1783,0.2,0,"Group2",1,10168.95339,3803.399663,4973.92119,4717.49425,6525.483124,7638.725875,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,95,3.06805293513362,4.0943445622221,5.48063892334199,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe403","captured",2014-04-08,"Trap UFLT2, South side of ORV trail near corner just in front of water",2,"hav-a-hart trap",553290,2810188,"Live",44.2,113.4,2.7,"Necropsy","Male",NA,2014-04-10,NA,44.2,113.4,2.7,33.174,NA,"Normal","right femur collected","Normal","Male",35.004,NA,2,"Male",4,8,2700,1.228666667,3.1267773413054,1999,0,0,"Group3",1,11541.80666,4315.890754,4033.286005,4032.92053,3670.942386,8845.220009,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,98,3.78872478908365,4.73092139129365,7.90100705199242,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe416","transferred;USGS/ENP",2014-04-08,"RR05; East of C-111E",NA,NA,547771,2808262,"Live",30,80,0.816,"Alive","Male","TL= 30 SVL + 50 tail length, measurements from USGS",2014-04-11,"Destroyed",28.9,80.8,0.8,14.224,NA,"Normal","right femur collected","Normal","Male",19.058,NA,3,"Male",4,8,816,1.743137255,3.02222222222222,1784,1.1,0.016,"Group2",1,9907.617776,3661.951665,4852.455152,4594.170763,6444.037011,7389.871988,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,98,3.40119738166216,4.38202663467388,6.70441435496411,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe419","captured",2014-04-14,"UFLT22, S. side of 424th street, east of C-110",22,"hav-a-hart trap",551121,2806522,"Live",39.4,105.1,2,"Necropsy","Male",NA,2014-04-16,NA,39.4,105.1,2,6.395,NA,"Normal","right femur collected","Normal","Male",39.616,NA,2,"Male",4,14,2000,0.31975,3.26995164264713,397,0,0,"Group3",1,7640.613195,123.3288287,1111,852.9038633,2872.690899,4888.687758,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,104,3.67376581630389,4.65491227788291,7.60090245954208,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe425","transferred",2014-04-13,"LT15, E of C111E",53,"hav-a-hart trap",547916,2809118,"Live",25,69,0.508,"Alive","Male","kept at DBC until transfer, measurements from USGS",2014-04-16,"Destroyed.",24.3,69.9,0.48,7.009,NA,"Normal","femur collected","Normal","Male",6.055,NA,3,"Male",4,13,508,1.379724409,3.2512,1989,0.7,0.028,"Group2",1,10679.21013,4023.840578,5135.006524,4885.361809,6583.769285,8109.462683,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,103,3.2188758248682,4.23410650459726,6.23048144757848,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe439","captured",2014-04-21,"T6 by fence @ juv facility property",29,"hav-a-hart trap",552285,2806406,"Live",25.5,73.5,0.51,"Necropsy","Male",NA,2014-04-23,NA,25.5,73.5,0.51,5.112,"n/a","Normal",NA,"Normal","Male",23.973,NA,2,"Male",4,21,510,1.002352941,3.07574009996155,1084,0,0,"Group2",1,7638.099895,1293.05607,128.2224629,324.04475,1717.354069,4931.987429,12,15,"High Intensity Urban","institutional","Urban","4",NA,NA,111,3.23867845216438,4.29728540621879,6.23441072571837,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe442","captured",2014-04-23,"T9, 424th street east of c111",32,NA,551616,2806531,"Live",33.3,90,1.28,"Necropsy","Male",NA,2014-04-24,"Destroyed",33.3,90,1.28,2.004,"white granules found in muscle and fat pads, only collected fat pads","Normal","right femur collected","Normal","Male",20.642,NA,1,"Male",4,23,1280,0.1565625,3.46638877061191,1086,0,0,"Group3",1,7675.741528,618,636.6136976,377.5142381,2377.613299,4930.875987,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,113,3.5055573969864,4.49980967033027,7.15461535691366,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe443","captured",2014-04-23,"T10, 424 st east of c110",33,NA,551295,2806527,"Live",24.8,68.1,0.42,NA,"Female",NA,2014-04-25,"Destroyed",24.8,68.1,0.42,5.09,NA,"Normal","Collect right femur","Normal","Female",3.11,NA,2,"Female",4,23,420,1.211904762,2.75355812158034,1087,0,0,"Group2",1,7651.163114,297.0269348,942.2579265,683.0065885,2698.623353,4899.692337,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,113,3.21084365317094,4.22097721315547,6.04025471127741,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
"Apr",2014,"TuMe444","captured",2014-04-23,"UFLT22, S side of 424th st just East of C110",22,"Regurgitated leopard frog, collected and frozen.",551121,2806522,"Live",20.8,61.9,0.3,"Necropsy","Female","Animal regurgitated a leopard frog upon capture. skinny.",2014-04-25,NA,20.8,61.9,0.3,1.71,NA,"Normal",NA,"Normal","Female",2.774,NA,2,"Female",4,23,300,0.57,3.33373634501593,398,0,0,"Group2",1,7640.613195,123.3288287,1111,852.9038633,2872.690899,4888.687758,4,4,"Prairie and Bog","mixed scrub shrub wetland","Prairie and Bog","1",NA,NA,113,3.03495298670727,4.12552017969055,5.7037824746562,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014-04-01,74.57,53.29,91.29,1.48,0.31,23.65,11.83,32.94,3.7592,0.7874
