ID,Species,Source,Sex,Site,Lat,Lon,Date,Observation,BM,SVL,Tail,BP,TP,FLP,HLP,ILL,TestesW,TestesL,TestesM,Follicules,FolliculesM,ClutchM,FolliculeD,FatBody
1,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.6,35.5,56,25,16,7.2,13,NA,NA,NA,NA,77,1.035,NA,0.415,68.82
8,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.15,39.5,40,28,17.5,8,13.5,NA,NA,NA,NA,78,2.53,NA,0.565,103.12
13,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.4,42,61,28,18,8,13,NA,NA,NA,NA,140,3.2,NA,0.5575,194.95
19,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.55,43,39,32,18,9,13.5,NA,NA,NA,NA,149,14.615,NA,1.04,201.95
20,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.45,44,30,29,17,8,12.5,NA,NA,NA,NA,37,9.76,NA,1.0275,104.16
21,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.8,37.5,64,26,16,7.5,12,NA,NA,NA,NA,106,2.065,NA,0.4825,103.09
22,merianae,hunted,female,A,NA,NA,10/18/2008,NA,3.1,44.5,57,32,19.5,9,14,NA,NA,NA,NA,133,3.83,NA,0.5075,180.8
24,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.1,39,67.5,28,16,7.4,12.5,NA,NA,NA,NA,120,2.77,NA,0.3925,220.71
25,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.3,39.5,34,32.5,18.5,8.5,13,NA,NA,NA,NA,74,8.73,NA,0.85,258.55
27,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.5,37.5,51,23.5,15,7,11.5,NA,NA,NA,NA,106,1.99,NA,0.43,63.73
34,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.9,39.5,19,26,17,7.5,12,NA,NA,NA,NA,122,3.04,NA,0.5325,113.26
36,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.4,36,60,25,13.5,6.5,9.5,NA,NA,NA,NA,106,2.335,NA,0.53,98.3
38,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.4,42.5,68,28,18,8.5,13,NA,NA,NA,NA,135,5.43,NA,0.51,168.04
40,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.9,40,33,26,16,7.5,12,NA,NA,NA,NA,121,2.33,NA,0.5325,96.27
41,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.3,41,50,30,17,8.5,13,NA,NA,NA,NA,97,2.475,NA,0.45,104.6
44,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.4,36,62.5,22.5,14.5,6.5,10.5,NA,NA,NA,NA,85,1.585,NA,0.3925,55.8
47,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2,39,64.5,27,16.5,7.5,11,NA,NA,NA,NA,146,3.275,NA,0.4725,160.53
48,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2,38,68,26,16,8,12,NA,NA,NA,NA,154,3.445,NA,0.5725,122.65
50,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.65,37.5,56.5,24.5,15,7.4,11,NA,NA,NA,NA,105,1.96,NA,0.4725,61.82
52,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.9,40,70.5,26,16,7.5,12.5,NA,NA,NA,NA,107,2.02,NA,0.3225,71.04
54,merianae,hunted,female,A,NA,NA,10/18/2008,NA,2.5,38,66,27,16.5,7.5,12,NA,NA,NA,NA,131,3.025,NA,0.395,147.93
56,merianae,hunted,female,A,NA,NA,10/18/2008,NA,1.25,33,49.5,22.5,14,7,11,NA,NA,NA,NA,116,0.865,NA,0.3375,59.02
60,merianae,hunted,female,A,NA,NA,10/25/2008,NA,1.4,35,56,23.5,14,6.5,11,NA,NA,NA,NA,98,1.95,NA,0.435,65.62
61,merianae/rufescens,hunted,female,A,NA,NA,10/25/2008,NA,2.3,39,59,28,17.5,7.5,13.5,NA,NA,NA,NA,61,1.905,NA,0.6325,163.64
62,merianae,hunted,female,A,NA,NA,10/25/2008,NA,2,38,42,27,16,7,11.5,NA,NA,NA,NA,107,1.62,NA,0.4325,151.9
63,merianae,hunted,female,A,NA,NA,10/25/2008,NA,2.55,41,54,32.5,17.5,8,13,NA,NA,NA,NA,100,8.23,NA,0.875,183.31
64,merianae,hunted,female,A,NA,NA,10/25/2008,NA,1.65,39,32,24,16,8.5,12.5,NA,NA,NA,NA,84,1.665,NA,0.4475,59.86
65,merianae,hunted,female,A,NA,NA,10/25/2008,NA,2.8,40,70,32,18,8.5,13,NA,NA,NA,NA,62,21.975,NA,1.1375,163.29
66,merianae,hunted,female,A,NA,NA,10/25/2008,NA,1.55,35,63,26,15,7,11,NA,NA,NA,NA,89,3.01,NA,0.585,121.2
67,merianae,hunted,female,A,NA,NA,10/25/2008,NA,1.65,37,63,26.5,15.5,7.5,12,NA,NA,NA,NA,134,3.4,NA,0.57,60.03
68,merianae/rufescens,hunted,female,A,NA,NA,10/25/2008,NA,1.3,35,13,25,14.5,7,12,NA,NA,NA,NA,47,1.665,NA,0.54,83.99
72,merianae,hunted,female,A,NA,NA,10/25/2008,NA,1.7,37,61,25,15.5,7.5,12,NA,NA,NA,NA,87,1.36,NA,0.3775,92.59
73,merianae/rufescens,hunted,female,A,NA,NA,10/25/2008,NA,1,31,60.5,20.5,13,6,10,NA,NA,NA,NA,87,0.53,NA,0.34,38.13
74,merianae,hunted,female,A,NA,NA,10/25/2008,NA,1.6,36,53,23,14.5,7,12,NA,NA,NA,NA,98,0.875,NA,0.3475,36.26
75,merianae,hunted,female,A,NA,NA,10/25/2008,NA,2.65,42,66,30,17.5,9,14,NA,NA,NA,NA,105,1.68,NA,0.4275,163.68
77,merianae,hunted,female,A,NA,NA,10/25/2008,NA,1.9,41,55,23.5,16,8,13,NA,NA,NA,NA,116,2.875,NA,0.54,23.82
80,merianae,hunted,female,A,NA,NA,11/2/2008,NA,2.6,40,68,31,18,8,13,NA,NA,NA,NA,48,18.665,NA,1.16,175.53
81,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.7,36.5,46.5,28,15,7.5,12,NA,NA,NA,NA,76,4.84,NA,0.75,93.28
83,merianae,hunted,female,A,NA,NA,11/2/2008,NA,2.2,41,68,28.5,16.5,8,13,NA,NA,NA,NA,101,13.075,NA,0.955,129.03
84,merianae,hunted,female,A,NA,NA,11/2/2008,NA,2.1,39.5,45,29,16,8.5,12,NA,NA,NA,NA,57,17.5,NA,1.045,90.54
85,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.3,35.5,15,23.5,15,7,11,NA,NA,NA,NA,93,1.56,NA,0.4525,50.43
87,merianae,hunted,female,A,NA,NA,11/2/2008,NA,2,38.5,25,28.5,15.5,8,12,NA,NA,NA,NA,144,3.33,NA,0.56,122.8
90,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.9,38.5,68,28,16,7.5,12,NA,NA,NA,NA,40,7.41,NA,0.905,117.85
91,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.7,37,53,26,16,7,12,NA,NA,NA,NA,122,4.32,NA,0.6,100.36
93,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.6,38,26,25,15.5,7,11,NA,NA,NA,NA,69,5.405,NA,0.655,75.12
94,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.2,35,64,22,13.5,6.5,10.5,NA,NA,NA,NA,90,1.43,NA,0.4625,39.2
96,merianae,hunted,female,A,NA,NA,11/2/2008,NA,1.25,34,53.5,23,14,7,11,NA,NA,NA,NA,78,0.93,NA,0.3975,62.35
