"UF.Animal.ID","Status","Capture.Date","Capture.Location","Trap.Name","Capture.Notes","UTM.Easting","UTM.Northing","Specimen.Condition","Intake.SVL","Intake.TL","Intake.Weight.kg","Measurements","Intake.Sex","Age.Class","General.Notes","Euth.Date","Final.Disposition","Nec.SVL","Nec.TL","Nec.Weight.kg","Fat.Wt..g.","Malformations","Extremities","Extremities.Notes","Reproductive.Sys","Nec.Sex","Additional.Notes","Date.Diff","Analysis.Sex","SVL_Diff","Weight_Diff"
"TuMe1000","UF trap line",2015-05-21,"HH2",144,NA,553772,2806568,"Live",26.4,73.6,0.54,"Dead","Female",NA,NA,2015-05-22,NA,26.8,73.9,0.54,6.014,NA,"Normal",NA,"Normal","Female",NA,1,"Female",-0.400000000000002,0
"TuMe1002","UF trap line",2015-05-21,NA,151,NA,552797,2806551,"Live",29.3,77.2,0.7,"Dead","Female",NA,NA,2015-05-22,NA,28.4,77,0.73,8.955,NA,"Normal",NA,"Normal","Female",NA,1,"Female",0.900000000000002,-0.03
"TuMe1003","UF trap line",2015-05-21,NA,155,NA,552577,2806532,"Live",26.6,74.9,0.5,"Dead","Female",NA,NA,2015-05-22,NA,26.6,72.4,0.54,2.306,NA,"Normal",NA,"Normal","Female",NA,1,"Female",0,-0.04
"TuMe1004","UF trap line",2015-05-21,NA,158,NA,551570,2806529,"Live",19.9,56.9,0.24,"Dead","Male",NA,NA,2015-05-22,NA,20.1,55.8,0.235,2.884,NA,"Normal",NA,"Normal","Male",NA,1,"Male",-0.200000000000003,0.005
"TuMe1007","UF trap line",2015-05-22,NA,162,NA,552318,2806240,"Live",25.5,69.4,0.46,"Dead","Unknown",NA,"possible male",2015-05-22,NA,24.2,66.9,0.49,1.317,NA,"Normal",NA,"Normal","Male",NA,0,"Male",1.3,-0.03
"TuMe1008","UF trap line",2015-05-22,NA,147,NA,551005,2805006,"Live",23.2,65.3,0.4,"Dead","Male",NA,NA,2015-05-22,NA,22.7,64.3,0.41,3.333,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.5,-0.00999999999999995
"TuMe1017","transferred",2015-05-20,"S117",221,NA,549384,2806514,"Live",27.5,77,0.746,"Alive","Female",NA,NA,2015-05-23,"Sent to Sterling Nesbitt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female",NA,NA
"TuMe1025","UF trap line",2015-05-26,"HH2",144,NA,553772,2806568,"Live",22.6,62.4,0.34,"Dead","Male",NA,NA,2015-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1026","UF trap line",2015-05-26,"HH6",155,NA,552577,2806532,"Live",21.4,61,0.28,"Dead","Male",NA,NA,2015-05-26,NA,20.8,61.1,0.285,5.067,NA,"Abnormal","two toes missing on back right leg","Normal","Male",NA,0,"Male",0.599999999999998,-0.00499999999999995
"TuMe1027","UF trap line",2015-05-26,"B1",123,NA,551804,2806568,"Live",24.1,67,0.38,"Dead","Male",NA,NA,2015-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1028","UF trap line",2015-05-26,"HH51",154,NA,550970,2806999,"Live",20.7,55.8,0.22,"Dead","Male",NA,NA,2015-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1029","UF trap line",2015-05-26,"HH12",136,NA,551007,2805967,"Live",23.7,67,0.39,"Dead","Male",NA,NA,2015-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1030","UF trap line",2015-05-26,"HH22",147,NA,551005,2805006,"Live",27.3,73.1,0.6,NA,"Male",NA,NA,2015-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1031","UF trap line",2015-05-27,"HH1",133,NA,553958,2806544,"Live",28.6,78.4,0.64,"Dead","Female",NA,NA,2015-05-28,NA,28.7,77.7,0.66,3.131,NA,"Normal",NA,"Normal","Female",NA,1,"Female",-0.0999999999999979,-0.02
"TuMe1032","UF trap line",2015-05-27,"HH2",144,NA,553772,2806568,"Live",26.6,73.4,0.575,"Dead","Female",NA,NA,2015-05-28,NA,26.5,72.5,0.58,10.751,NA,"Normal",NA,"Normal","Male",NA,1,"Male",0.100000000000001,-0.005
"TuMe1033","UF trap line",2015-05-27,"HH6",155,NA,552577,2806532,"Live",25.9,70.7,0.48,"Dead","Female",NA,NA,2015-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female",NA,NA
"TuMe1034","UF trap line",2015-05-27,"P1",163,NA,552001,2806452,"Live",24.6,70.7,0.475,"Dead","Female",NA,NA,2015-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female",NA,NA
"TuMe1035","UF trap line",2015-05-27,"HH9",158,NA,551570,2806529,"Live",20.7,60.2,0.26,"Dead","Female",NA,NA,2015-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female",NA,NA
"TuMe1036","UF trap line",2015-05-27,"HH51",154,NA,550973,2806831,"Live",22.7,63.1,0.34,"Dead","Female",NA,NA,2015-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female",NA,NA
"TuMe1037","UF trap line",2015-05-27,"HH11",135,NA,551007,2806486,"Live",24.9,68,0.42,"Dead","Male",NA,NA,2015-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Male",NA,NA
"TuMe1041","UF trap line",2015-05-29,"Trap2",35,NA,553935,2806576,"Live",24.8,71,0.5,"Dead","Male",NA,NA,2015-05-29,NA,25.4,70.7,0.52,5.798,NA,"Normal","Front feet pads are dark in color","Normal","Male",NA,0,"Male",-0.599999999999998,-0.02
"TuMe1043","UF trap line",2015-05-29,"HH12",136,NA,551007,2805967,"Live",23.1,61.1,0.315,"Dead","Male",NA,NA,2015-05-29,NA,22.2,61.9,0.32,0.318,NA,"Normal","Shedding on the inner limb regions and base to mid sections of tail.  Drag marks on ventral side of tail","Normal","Male",NA,0,"Male",0.900000000000002,-0.005
"TuMe1044","UF trap line",2015-05-29,"HH19",143,NA,551025,2801950,"Live",24,65.7,0.39,"Dead","Female",NA,NA,2015-05-29,NA,24.1,66.1,0.4,1.549,NA,"Normal",NA,"Normal","Female",NA,0,"Female",-0.100000000000001,-0.01
"TuMe1045","UF trap line",2015-05-29,"HF22",131,NA,551000,2805766,"Live",24.2,64.2,0.395,"Dead","Female",NA,NA,2015-05-29,NA,23.3,64.1,0.39,0.796,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.899999999999999,0.005
"TuMe1046","transferred",2015-05-28,"S110",214,NA,547763,2808189,"Live",30,69,0.954,"Alive","Female",NA,NA,2015-05-31,"Sent to Sterling Nesbitt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female",NA,NA
"TuMe1055","UF trap line",2015-06-02,"HH7",156,NA,552313,2806546,"Live",27.7,69.1,0.68,"Dead","Male",NA,NA,2015-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1056","UF trap line",2015-06-02,"JD4",162,NA,552318,2806240,"Live",31.7,87.2,0.76,"Dead","Male",NA,NA,2015-06-02,NA,31.5,85.3,0.86,1.335,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.199999999999999,-0.1
"TuMe1057","UF trap line",2015-06-02,"P1",163,NA,552001,2806452,"Live",31.2,84.8,0.94,"Dead","Female",NA,NA,2015-06-02,NA,29.6,82,0.94,25.04,NA,"Normal",NA,"Normal","Female",NA,0,"Female",1.6,0
"TuMe1058","UF trap line",2015-06-02,"HH51",154,NA,550970,2806999,"Live",23.3,64.5,0.34,"Dead","Female",NA,NA,2015-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1059","UF trap line",2015-06-02,"HH11",135,NA,551007,2806486,"Live",24.2,66.2,0.38,"Dead","Male",NA,NA,2015-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1060","UF trap line",2015-06-02,"Trap2",35,NA,553935,2806976,"Live",29.1,80.1,0.76,"Dead","Male",NA,NA,2015-06-02,NA,29.4,79.6,0.77,2.962,NA,"Normal",NA,"Normal","Male",NA,0,"Male",-0.299999999999997,-0.01
"TuMe1061","UF trap line",2015-06-03,"PVC 8",194,NA,551848,2806541,"Live",31.1,82.4,0.84,"Dead","Male",NA,NA,2015-06-03,NA,29.6,82.1,0.83,1.06,NA,"Normal",NA,"Normal","Male",NA,0,"Male",1.5,0.01
"TuMe1062","UF trap line",2015-06-04,"HH1",133,NA,553958,2806544,"Live",22.7,63,0.325,"Dead","Female",NA,NA,2015-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1063","UF trap line",2015-06-04,"Trap1",34,NA,553953,2806578,"Live",25.2,68.1,0.465,"Dead","Male",NA,NA,2015-06-04,NA,25.1,67,0.45,1.443,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.0999999999999979,0.015
"TuMe1064","UF trap line",2015-06-04,"HH11",135,NA,551007,2806486,"Live",25.8,70.4,0.43,"Dead","Male",NA,NA,2015-06-04,NA,24.1,68.5,0.45,1.232,NA,"Normal",NA,"Normal","Male",NA,0,"Male",1.7,-0.02
"TuMe1071","transferred",2015-06-05,"Golfcoast 34884 SW 188th Place, Homestead, FL",NA,"Caught by resident/home owner",550696,2814294,"Live",28.5,77.1,0.85,"Dead","Female",NA,"Sex updated from unknown to Female by L. Garner on 14-Sept-2015",2015-06-08,"Sent to Sterling Nesbitt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female",NA,NA
"TuMe1072","UF trap line",2015-06-09,"Trap1",34,NA,553953,2806578,"Live",22.9,64.2,0.36,"Dead","Male",NA,NA,2015-06-09,NA,22.1,62,0.365,6.144,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.799999999999997,-0.005
"TuMe1073","UF trap line",2015-06-09,"HH2",144,NA,553772,2806568,"Live",25.9,72.6,0.46,"Dead","Female",NA,NA,2015-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Female",NA,NA
"TuMe1074","UF trap line",2015-06-09,"HH7",156,NA,552313,2806546,"Live",23.8,65.7,0.36,"Dead","Male",NA,NA,2015-06-09,NA,21.9,62.6,0.37,1.021,NA,"Normal",NA,"Normal","Male",NA,0,"Male",1.9,-0.01
"TuMe1075","UF trap line",2015-06-09,"P2",164,NA,551992,2806291,"Live",26.5,71.1,0.52,"Dead","Male",NA,NA,2015-06-09,NA,24.9,69.3,0.51,0.5863,NA,"Normal",NA,"Abnormal","Male",NA,0,"Male",1.6,0.01
"TuMe1076","UF trap line",2015-06-09,"B2",124,NA,551806,2806598,"Live",24.8,68.3,0.38,"Dead","Male",NA,NA,2015-06-09,NA,24.3,67.8,0.38,0.386,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0.5,0
"TuMe1078","UF trap line",2015-06-09,"HH51",154,NA,550970,2806999,"Live",22.1,61.6,0.26,"Dead","Male",NA,NA,2015-06-09,NA,22.5,59.8,0.24,0.575,NA,"Normal",NA,"Normal","Male",NA,0,"Male",-0.399999999999999,0.02
"TuMe1079","UF trap line",2015-06-09,"HH12",136,NA,551007,2805967,"Live",20.2,57.3,0.22,"Dead","Male",NA,NA,2015-06-09,NA,20.8,57.7,0.24,0.267,NA,"Normal",NA,"Abnormal","Male",NA,0,"Male",-0.600000000000001,-0.02
"TuMe1080","UF trap line",2015-06-09,"HH13",137,NA,551017,2805509,"Live",26.5,72,0.44,"Dead","Male",NA,NA,2015-06-09,NA,25.5,70.6,0.46,0.31,NA,"Normal",NA,"Normal","Male","Skin: Abnormal coloring/pattern",0,"Male",1,-0.02
"TuMe1081","UF trap line",2015-06-09,"HH23",148,NA,550993,2806365,"Live",21.6,60.2,0.22,"Dead","Female",NA,NA,2015-06-09,NA,20.8,57.7,0.22,0.31,NA,"Normal",NA,"Normal","Female",NA,0,"Female",0.800000000000001,0
"TuMe1082","UF trap line",2015-06-10,"HH5",151,NA,552797,2806551,"Live",24.2,67.3,0.38,"Dead","Male",NA,NA,2015-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Male",NA,NA
"TuMe1083","UF trap line",2015-06-10,"JD4",162,NA,552318,2806240,"Live",23.7,66.8,0.4,"Dead","Male",NA,NA,2015-06-10,NA,23.7,66.4,0.4,1.69,NA,"Normal",NA,"Normal","Male",NA,0,"Male",0,0
